player_name,school,conference,position,height,height_inches,weight,class,season_year,games,minutes,minutes_pct,ppg,defensive_rating,offensive_rating,usage_rate,ts_pct,three_pt_pct,three_pt_attempt_rate,ft_pct,off_rebound_rate,def_rebound_rate,assist_rate,turnover_rate,steal_rate,block_rate,bpm,vorp,previous_bpm,conf_strength,conf_strength_from,conf_strength_to,conf_upgrade,future_bpm,future_impact_score,transfer_success,public_transfer_rank
Caleb Grill,Missouri,SEC,WI,6-3,75,210.0,Sr,2025,29.0,646.1,55.7,13.7241,95.7,132.1,19.6,0.6557,0.396,0.3,0.864,3.5,12.7,8.3,10.3,4.34802,4.62819,10.4273,1.82,10.4273,0.99,0.99,1.0,0.01,0.0,50.0,0,11
Joshua Jefferson,Iowa St.,B12,WI,6-8,80,147.0,Jr,2025,35.0,1022.0,73.0,12.9714,95.8,114.4,23.5,0.5972,0.31,0.3,0.756,8.1,21.7,19.6,19.5,3.63655,4.592639999999999,10.3088,2.84,10.3088,0.98,0.98,1.0,0.02,0.0,50.0,0,12
Nique Clifford,Colorado St.,MWC,WI,6-6,78,148.0,Sr,2025,36.0,1261.4,87.6,18.9167,95.8,116.6,27.9,0.6026,0.377,0.3,0.777,5.4,26.0,26.8,15.8,5.14452,4.58691,10.2897,3.5,10.2897,0.75,0.75,1.0,0.25,0.0,50.0,0,13
LJ Cryer,Houston,B12,G,6-1,73,210.0,Sr,2025,40.0,1286.4,80.4,15.725,95.8,123.9,22.3,0.5709000000000001,0.424,0.3,0.895,1.5,7.4,12.2,9.5,5.25983,4.5848700000000004,10.2829,3.57,10.2829,0.98,0.98,1.0,0.02,0.0,50.0,0,14
Aday Mara,UCLA,B10,C,7-3,87,210.0,So,2025,33.0,418.4,31.7,6.3939,95.8,117.1,25.9,0.5936,0.0,0.3,0.577,16.9,21.7,16.7,15.2,1.90639,4.57536,10.2512,1.16,10.2512,1.0,1.0,1.0,0.0,0.0,50.0,0,15
Micah Handlogten,Florida,SEC,C,7-1,85,210.0,Jr,2025,16.0,84.5,13.2,2.625,95.9,140.0,11.8,0.6136,0.0,0.3,0.4,18.0,21.5,13.2,11.3,2.19128,4.5517199999999995,10.1724,0.23,10.1724,0.99,0.99,1.0,0.01,0.0,50.0,0,16
Nate Bittle,Oregon,B10,PF,7-0,84,141.0,Sr,2025,35.0,960.4,68.6,14.1714,95.9,118.2,24.3,0.598,0.336,0.3,0.811,8.2,23.0,14.4,13.9,4.0296,4.538729999999999,10.1291,2.63,10.1291,1.0,1.0,1.0,0.0,0.0,50.0,0,17
Dylan Cardwell,Auburn,SEC,C,6-11,83,108.0,Sr,2025,38.0,770.6,50.7,5.0263,95.9,133.7,13.5,0.6271,0.5,0.3,0.4,14.1,14.0,12.7,11.7,2.92507,4.53705,10.1235,2.11,10.1235,0.99,0.99,1.0,0.01,0.0,50.0,0,18
Maliq Brown,Duke,ACC,WI,6-9,81,210.0,Jr,2025,26.0,273.5,26.3,2.4615,95.9,121.4,12.3,0.6584,0.333,0.3,0.4,12.5,14.2,14.8,28.8,1.37864,4.53519,10.1173,0.75,10.1173,0.97,0.97,1.0,0.03,0.0,50.0,0,19
Mouhamed Dioubate,Alabama,SEC,PF,6-7,79,117.0,So,2025,37.0,587.6,39.7,7.2432,95.9,123.2,20.0,0.6514,0.462,0.3,0.609,13.0,23.9,11.8,17.8,2.37328,4.51917,10.0639,1.6,10.0639,0.99,0.99,1.0,0.01,0.0,50.0,0,20
Jase Richardson,Michigan St.,B10,G,6-3,75,210.0,Fr,2025,36.0,885.6,61.5,12.1389,96.0,128.3,19.4,0.6244,0.412,0.3,0.836,3.0,11.4,14.4,9.9,3.94979,4.50849,10.0283,2.4,10.0283,1.0,1.0,1.0,0.0,0.0,50.0,0,21
V.J. Edgecombe,Baylor,B12,WI,6-5,77,126.0,Fr,2025,32.0,975.4,76.2,15.0,96.0,115.8,24.4,0.5543,0.336,0.3,0.779,7.1,13.6,19.0,15.0,4.8182,4.491681,9.97227,2.63,9.97227,0.98,0.98,1.0,0.02,0.0,50.0,0,22
John Tonje,Wisconsin,B10,WI,6-5,77,137.0,Sr,2025,37.0,1147.0,77.5,19.5676,96.0,123.8,26.8,0.6468,0.388,0.3,0.909,3.0,15.6,11.9,12.9,5.55237,4.489095,9.96365,3.09,9.96365,1.0,1.0,1.0,0.0,0.0,50.0,0,23
Bennett Stirtz,Drake,MVC,PG,6-4,76,147.0,Jr,2025,33.0,1304.2,98.8,19.2286,96.0,126.4,26.1,0.6043,0.396,0.3,0.793,2.2,14.0,34.0,13.1,6.36103,4.487169,9.95723,3.51,9.95723,0.68,0.68,1.0,0.32,0.0,50.0,0,24
Walter Clayton Jr.,Florida,SEC,PG,6-3,75,129.0,Sr,2025,39.0,1238.6,79.4,18.2821,96.1,122.2,24.8,0.6018,0.386,0.3,0.875,1.2,10.3,23.2,16.9,5.39028,4.453794,9.84598,3.29,9.84598,0.99,0.99,1.0,0.01,0.0,50.0,0,25
Thomas Haugh,Florida,SEC,PF,6-9,81,109.0,So,2025,40.0,974.4,60.9,9.75,96.2,133.1,18.5,0.6238,0.34,0.3,0.794,10.7,15.8,14.2,13.2,4.11582,4.439634,9.79878,2.58,9.79878,0.99,0.99,1.0,0.01,0.0,50.0,0,26
Richie Saunders,BYU,B12,WI,6-5,77,132.0,Jr,2025,35.0,985.6,70.4,16.5429,96.3,128.7,22.2,0.6511,0.432,0.3,0.835,5.7,12.0,10.5,11.7,5.09044,4.399026,9.66342,2.57,9.66342,0.98,0.98,1.0,0.02,0.0,50.0,0,27
Javon Small,West Virginia,B12,PG,6-2,74,111.0,Sr,2025,32.0,1137.9,88.9,18.5938,96.3,113.0,28.7,0.5756,0.353,0.3,0.88,1.5,11.6,35.1,16.1,5.36855,4.3953,9.651,2.97,9.651,0.98,0.98,1.0,0.02,0.0,50.0,0,28
Chris Manon,Vanderbilt,SEC,WI,6-5,77,210.0,Sr,2025,33.0,598.0,45.3,6.5758,96.3,124.0,17.7,0.622,0.235,0.3,0.783,8.8,15.0,12.3,15.1,2.28755,4.3821449999999995,9.60715,1.55,9.60715,0.99,0.99,1.0,0.01,0.0,50.0,0,29
Ja'Kobi Gillespie,Maryland,B10,PG,6-1,73,210.0,Jr,2025,36.0,1131.8,78.6,14.6667,96.4,121.6,22.6,0.5978,0.407,0.3,0.862,2.0,7.9,27.3,15.1,4.47362,4.365881999999999,9.55294,2.92,9.55294,1.0,1.0,1.0,0.0,0.0,50.0,0,30
Aniwaniwa Tait-Jones,UC San Diego,BW,WI,6-6,78,262.0,Sr,2025,33.0,1008.5,76.4,19.1429,96.4,124.9,30.5,0.6468,0.304,0.3,0.757,5.6,15.7,26.2,13.4,5.29398,4.356906,9.52302,2.59,9.52302,0.65,0.65,1.0,0.35,0.0,50.0,0,31
Tomislav Ivisic,Illinois,B10,PF,7-1,85,210.0,So,2025,32.0,779.5,60.9,12.9688,96.4,120.8,21.4,0.5972999999999999,0.357,0.3,0.75,7.4,22.2,15.8,15.4,3.78982,4.356906,9.52302,2.0,9.52302,1.0,1.0,1.0,0.0,0.0,50.0,0,32
Kon Knueppel,Duke,ACC,WI,6-7,79,122.0,Fr,2025,39.0,1188.7,76.2,14.4359,96.4,130.7,20.9,0.6415000000000001,0.406,0.3,0.914,4.3,10.3,15.7,12.9,5.17603,4.338111,9.46037,3.04,9.46037,0.97,0.97,1.0,0.03,0.0,50.0,0,33
Alex Condon,Florida,SEC,PF,6-11,83,155.0,So,2025,37.0,854.0,57.7,10.5676,96.5,118.4,22.2,0.5518,0.328,0.3,0.604,12.5,19.3,15.0,14.1,3.403,4.329423,9.43141,2.17,9.43141,0.99,0.99,1.0,0.01,0.0,50.0,0,34
Braden Smith,Purdue,B10,PU,6-0,72,210.0,Jr,2025,36.0,1333.4,92.6,15.75,96.5,116.1,26.6,0.5477000000000001,0.381,0.3,0.833,1.4,13.5,44.1,18.6,5.70431,4.317767999999999,9.39256,3.38,9.39256,1.0,1.0,1.0,0.0,0.0,50.0,0,35
Kam Jones,Marquette,BE,PG,6-4,76,245.0,Sr,2025,34.0,1141.0,83.9,19.2059,96.6,118.1,29.2,0.5508,0.311,0.3,0.648,2.1,13.6,38.1,11.1,5.66673,4.286166,9.28722,2.86,9.28722,0.88,0.88,1.0,0.12,0.0,50.0,0,36
Jorge Diaz Graham,Pittsburgh,ACC,WI,6-11,83,210.0,Jr,2025,29.0,187.9,16.2,3.069,96.6,140.0,15.1,0.7223999999999999,0.476,0.3,0.813,5.7,8.6,5.6,5.7,1.26563,4.264908,9.21636,0.47,9.21636,0.97,0.97,1.0,0.03,0.0,50.0,0,37
Mylik Wilson,Houston,B12,WI,6-3,75,210.0,Sr,2025,40.0,689.6,43.1,5.6,96.7,107.9,20.2,0.4854,0.359,0.3,0.71,7.4,20.1,15.0,14.9,1.5831,4.244187,9.14729,1.7,9.14729,0.98,0.98,1.0,0.02,0.0,50.0,0,38
Chad Baker-Mazara,Auburn,SEC,WI,6-7,79,210.0,Sr,2025,38.0,969.8,63.8,12.3158,96.7,122.4,22.0,0.6036,0.381,0.3,0.888,2.4,10.6,18.0,14.4,4.03135,4.226385,9.08795,2.38,9.08795,0.99,0.99,1.0,0.01,0.0,50.0,0,39
Adou Thiero,Arkansas,SEC,WI,6-6,78,128.0,Jr,2025,27.0,553.0,51.2,15.0741,96.7,116.1,25.9,0.6053999999999999,0.256,0.3,0.686,7.7,15.9,14.0,13.6,3.88475,4.223376,9.07792,1.36,9.07792,0.99,0.99,1.0,0.01,0.0,50.0,0,40
Clifford Omoruyi,Alabama,SEC,C,6-11,83,145.0,Sr,2025,37.0,704.5,47.6,7.8919,96.8,140.0,15.0,0.7403,0.0,0.3,0.725,11.0,22.7,7.4,13.8,3.38081,4.217981999999999,9.05994,1.72,9.05994,0.99,0.99,1.0,0.01,0.0,50.0,0,41
Nolan Winter,Wisconsin,B10,PF,7-0,84,107.0,So,2025,37.0,777.0,52.5,9.4054,96.8,132.0,19.2,0.664,0.358,0.3,0.769,9.8,21.2,9.9,11.0,3.48099,4.20993,9.0331,1.9,9.0331,1.0,1.0,1.0,0.0,0.0,50.0,0,42
Max Shulga,VCU,A10,G,6-5,77,210.0,Sr,2025,34.0,1131.5,83.2,15.0286,96.8,125.6,22.5,0.5935,0.387,0.3,0.782,5.8,14.1,23.2,13.9,4.79528,4.187625000000001,8.95875,2.74,8.95875,0.77,0.77,1.0,0.23,0.0,50.0,0,43
Vladislav Goldin,Michigan,B10,C,7-1,85,231.0,Sr,2025,37.0,1012.3,68.4,16.6216,96.9,117.4,26.1,0.6542,0.333,0.3,0.731,10.3,17.4,8.5,18.3,4.35956,4.163772,8.87924,2.43,8.87924,1.0,1.0,1.0,0.0,0.0,50.0,0,44
Hunter Dickinson,Kansas,B12,PF,7-2,86,174.0,Sr,2025,34.0,1014.6,74.6,17.4118,96.9,111.4,28.3,0.5710000000000001,0.276,0.3,0.748,10.7,25.1,14.4,14.8,4.33878,4.1537880000000005,8.84596,2.42,8.84596,0.98,0.98,1.0,0.02,0.0,50.0,0,45
Kadary Richmond,St. John's,BE,PG,6-6,78,188.0,Sr,2025,36.0,1147.7,79.7,12.4444,97.0,109.1,21.9,0.5042,0.175,0.3,0.536,4.1,17.0,29.4,15.9,2.90959,4.127673,8.75891,2.71,8.75891,0.88,0.88,1.0,0.12,0.0,50.0,0,46
Bruce Thornton,Ohio St.,B10,PG,6-2,74,210.0,Jr,2025,32.0,1131.5,88.4,17.6875,97.0,130.0,22.0,0.633,0.424,0.3,0.853,1.2,10.0,25.1,10.8,6.32138,4.117058999999999,8.72353,2.67,8.72353,1.0,1.0,1.0,0.0,0.0,50.0,0,47
Khaman Maluach,Duke,ACC,C,7-2,86,156.0,Fr,2025,39.0,828.4,53.1,8.5897,97.1,140.0,16.8,0.736,0.25,0.3,0.766,16.5,19.2,4.3,13.0,3.95976,4.100628,8.66876,1.94,8.66876,0.97,0.97,1.0,0.03,0.0,50.0,0,48
Amari Williams,Kentucky,SEC,C,7-0,84,150.0,Sr,2025,36.0,816.5,56.7,10.8611,97.1,111.0,26.9,0.5871999999999999,0.25,0.3,0.623,10.3,29.7,24.7,20.5,3.04698,4.099299,8.66433,1.91,8.66433,0.99,0.99,1.0,0.01,0.0,50.0,0,49
Miles Byrd,San Diego St.,MWC,WI,6-7,79,210.0,So,2025,30.0,895.2,74.6,12.2667,97.1,107.2,23.0,0.5181,0.301,0.3,0.832,3.5,13.0,18.5,13.7,2.68951,4.0932390000000005,8.64413,2.09,8.64413,0.75,0.75,1.0,0.25,0.0,50.0,0,50
Dylan Faulkner,Lipscomb,ASun,C,6-9,81,210.0,So,2025,13.0,90.5,17.4,10.4667,97.1,117.3,31.1,0.6177,0.0,0.3,0.705,12.2,21.5,24.1,15.8,2.53131,4.089942,8.63314,0.21,8.63314,0.64,0.64,1.0,0.36,0.0,50.0,0,51
Ben Gregg,Gonzaga,WCC,PF,6-10,82,103.0,Sr,2025,35.0,688.8,49.2,9.1143,97.1,135.9,19.0,0.6541,0.271,0.3,0.791,11.5,16.5,10.5,9.0,3.36308,4.073535,8.57845,1.6,8.57845,0.82,0.82,1.0,0.18,0.0,50.0,0,52
Bent Leuchten,UC Irvine,BW,PF,7-0,84,205.0,Sr,2025,38.0,1009.3,66.4,15.359,97.1,124.5,25.5,0.6448999999999999,0.429,0.3,0.817,11.3,25.2,12.5,13.2,3.90875,4.073313,8.57771,2.34,8.57771,0.65,0.65,1.0,0.35,0.0,50.0,0,53
Asa Newell,Georgia,SEC,PF,6-11,83,188.0,Fr,2025,33.0,957.0,72.5,15.4242,97.2,127.8,23.0,0.6115999999999999,0.292,0.3,0.748,14.0,13.5,6.7,9.8,5.08162,4.0635390000000005,8.54513,2.21,8.54513,0.99,0.99,1.0,0.01,0.0,50.0,0,54
Dylan Harper,Rutgers,B10,G,6-6,78,170.0,Fr,2025,29.0,839.8,72.4,19.4483,97.2,115.2,28.8,0.5865,0.333,0.3,0.75,2.6,13.5,27.0,14.8,4.95144,4.062492,8.54164,1.94,8.54164,1.0,1.0,1.0,0.0,0.0,50.0,0,55
Chance McMillian,Texas Tech,B12,WI,6-2,74,210.0,Sr,2025,31.0,838.2,67.6,14.1935,97.2,135.2,16.8,0.6789000000000001,0.433,0.3,0.885,3.5,10.8,10.1,11.2,5.23994,4.0451429999999995,8.48381,1.92,8.48381,0.98,0.98,1.0,0.02,0.0,50.0,0,56
Joseph Tugler,Houston,B12,C,6-8,80,210.0,So,2025,40.0,852.8,53.3,5.45,97.2,114.6,16.6,0.5373,0.273,0.3,0.538,14.5,17.8,7.7,17.0,2.03701,4.034169,8.44723,1.95,8.44723,0.98,0.98,1.0,0.02,0.0,50.0,0,57
Darrion Williams,Texas Tech,B12,WI,6-6,78,124.0,Jr,2025,34.0,923.4,67.9,15.0588,97.2,114.8,26.9,0.5375,0.34,0.3,0.836,6.3,14.8,23.1,14.0,4.28834,4.034013,8.44671,2.11,8.44671,0.98,0.98,1.0,0.02,0.0,50.0,0,58
Tarris Reed Jr.,Connecticut,BE,C,6-10,82,166.0,Jr,2025,35.0,687.4,49.1,9.6286,97.3,126.6,22.8,0.6714,0.0,0.3,0.644,17.5,27.4,10.8,16.4,3.17015,4.030094999999999,8.43365,1.57,8.43365,0.88,0.88,1.0,0.12,0.0,50.0,0,59
Alijah Martin,Florida,SEC,G,6-2,74,132.0,Sr,2025,38.0,1097.4,72.2,14.3684,97.3,121.3,20.6,0.5765,0.35,0.3,0.761,4.5,10.8,12.3,13.1,4.19293,4.029662999999999,8.43221,2.5,8.43221,0.99,0.99,1.0,0.01,0.0,50.0,0,60
Anthony Roy,Green Bay,Horz,G,6-5,77,210.0,Sr,2025,11.0,128.5,29.2,25.7273,97.3,116.8,32.4,0.6790999999999999,0.432,0.3,0.864,2.1,16.6,26.6,14.7,4.96397,4.0245,8.415,0.29,8.415,0.67,0.67,1.0,0.33,0.0,50.0,0,61
Oumar Koureissi,Texas Southern,SWAC,C,6-11,83,210.0,Sr,2025,15.0,75.0,12.5,4.1765,97.3,103.4,22.8,0.5533,0.286,0.3,0.611,8.1,9.3,9.3,16.9,0.50174,4.021761,8.40587,0.17,8.40587,0.55,0.55,1.0,0.45,0.0,50.0,0,62
Tayton Conerway,Troy,SB,PU,6-3,75,224.0,Sr,2025,32.0,992.0,77.5,14.2353,97.3,110.5,27.3,0.5424,0.276,0.3,0.661,7.2,9.8,36.7,20.0,3.15786,4.019124,8.39708,2.25,8.39708,0.65,0.65,1.0,0.35,0.0,50.0,0,63
Zakai Zeigler,Tennessee,SEC,PU,5-9,69,125.0,Sr,2025,37.0,1232.8,83.3,13.6216,97.3,114.8,25.3,0.5599000000000001,0.322,0.3,0.814,1.8,7.9,41.8,21.5,4.64463,4.006575,8.35525,2.78,8.35525,0.99,0.99,1.0,0.01,0.0,50.0,0,64
Alvaro Folgueiras,Robert Morris,Horz,PF,6-9,81,153.0,So,2025,34.0,984.6,72.4,14.1429,97.3,120.4,22.6,0.6433,0.417,0.3,0.779,9.0,26.9,21.9,19.9,3.06169,4.0019279999999995,8.33976,2.22,8.33976,0.67,0.67,1.0,0.33,0.0,50.0,0,65
Will Richard,Florida,SEC,WI,6-4,76,120.0,Sr,2025,40.0,1265.6,79.1,13.275,97.4,124.5,17.4,0.6238,0.359,0.3,0.844,4.0,11.0,9.9,15.9,4.1375,3.9841529999999996,8.28051,2.83,8.28051,0.99,0.99,1.0,0.01,0.0,50.0,0,66
Braden Huff,Gonzaga,WCC,PF,6-10,82,120.0,So,2025,35.0,576.8,41.2,11.0286,97.4,125.3,25.7,0.6025,0.281,0.3,0.702,9.2,13.6,13.0,6.1,2.82207,3.9832710000000002,8.27757,1.29,8.27757,0.82,0.82,1.0,0.18,0.0,50.0,0,67
Zuby Ejiofor,St. John's,BE,PF,6-9,81,215.0,Jr,2025,36.0,1127.5,78.3,14.6667,97.4,125.5,21.1,0.6325999999999999,0.222,0.3,0.708,14.3,12.5,9.1,14.4,4.62767,3.9827039999999996,8.27568,2.52,8.27568,0.88,0.88,1.0,0.12,0.0,50.0,0,68
Henri Veesaar,Arizona,B12,C,7-0,84,133.0,Jr,2025,37.0,765.2,51.7,9.3514,97.4,125.7,20.1,0.6457999999999999,0.327,0.3,0.686,12.2,14.5,11.0,15.4,3.27141,3.982083,8.27361,1.71,8.27361,0.98,0.98,1.0,0.02,0.0,50.0,0,69
Danny Wolf,Michigan,B10,PF,7-0,84,198.0,Jr,2025,37.0,1120.4,75.7,13.2162,97.4,103.5,25.2,0.5593,0.336,0.3,0.594,9.1,25.0,22.8,23.9,2.97767,3.9816599999999998,8.2722,2.5,8.2722,1.0,1.0,1.0,0.0,0.0,50.0,0,70
Brooks Barnhizer,Northwestern,B10,WI,6-6,78,210.0,Sr,2025,17.0,318.9,46.9,17.1176,97.4,101.6,28.0,0.49950000000000006,0.266,0.3,0.764,4.8,24.6,24.0,16.2,3.44688,3.9628200000000002,8.2094,0.71,8.2094,1.0,1.0,1.0,0.0,0.0,50.0,0,71
Chucky Hepburn,Louisville,ACC,PU,6-2,74,103.0,Sr,2025,34.0,1146.5,84.3,16.3824,97.4,115.2,25.5,0.5861,0.328,0.3,0.844,1.8,9.4,31.3,19.7,4.68214,3.957843,8.19281,2.54,8.19281,0.97,0.97,1.0,0.03,0.0,50.0,0,72
Jaxon Kohler,Michigan St.,B10,PF,6-9,81,210.0,Jr,2025,37.0,766.6,51.8,7.8108,97.5,117.7,19.4,0.5956,0.373,0.3,0.821,14.4,25.8,12.0,18.3,2.43115,3.941019,8.13673,1.68,8.13673,1.0,1.0,1.0,0.0,0.0,50.0,0,73
Taelon Peter,Liberty,CUSA,WI,6-4,76,210.0,Sr,2025,32.0,741.1,57.9,5.0,97.5,132.3,20.8,0.7276,0.458,0.3,0.771,1.4,18.3,9.9,8.1,3.66172,3.928869,8.09623,1.62,8.09623,0.62,0.62,1.0,0.38,0.0,50.0,0,74
Julian Reese,Maryland,B10,C,6-9,81,180.0,Sr,2025,36.0,1023.8,71.1,13.2778,97.6,119.9,22.5,0.5986,0.0,0.3,0.734,12.2,23.8,8.0,13.3,3.84795,3.910392,8.03464,2.22,8.03464,1.0,1.0,1.0,0.0,0.0,50.0,0,75
Rafael Castro,George Washington,A10,C,6-11,83,223.0,Jr,2025,33.0,966.2,73.2,14.0294,97.7,125.8,21.8,0.6612,0.0,0.3,0.638,12.7,21.5,13.7,14.1,4.00303,3.878733,7.92911,2.07,7.92911,0.77,0.77,1.0,0.23,0.0,50.0,0,76
Milos Uzan,Houston,B12,PG,6-4,76,210.0,Jr,2025,40.0,1241.6,77.6,11.375,97.7,120.7,20.1,0.5542,0.428,0.3,0.783,1.3,10.3,25.9,14.4,4.32443,3.8763449999999997,7.92115,2.66,7.92115,0.98,0.98,1.0,0.02,0.0,50.0,0,77
Malik Reneau,Indiana,B10,WI,6-9,81,147.0,Jr,2025,26.0,488.8,47.0,13.3462,97.7,114.1,27.1,0.5886,0.125,0.3,0.733,8.3,18.7,19.2,14.5,3.33701,3.876318,7.92106,1.05,7.92106,1.0,1.0,1.0,0.0,0.0,50.0,0,78
Sion James,Duke,ACC,WI,6-6,78,124.0,Jr,2025,39.0,996.8,63.9,8.6154,97.7,127.8,17.1,0.6352,0.413,0.3,0.81,3.7,14.2,18.9,16.6,3.4505,3.869697,7.89899,2.13,7.89899,0.97,0.97,1.0,0.03,0.0,50.0,0,79
Trey Kaufman-Renn,Purdue,B10,WI,6-9,81,211.0,Jr,2025,36.0,1107.4,76.9,20.0833,97.7,118.1,31.1,0.6119,0.429,0.3,0.648,11.0,15.4,16.8,13.9,5.7416,3.864711,7.88237,2.36,7.88237,1.0,1.0,1.0,0.0,0.0,50.0,0,80
Derik Queen,Maryland,B10,PF,6-10,82,231.0,Fr,2025,36.0,1088.6,75.6,16.5,97.7,113.4,26.9,0.591,0.2,0.3,0.766,9.0,24.5,11.6,16.5,4.01232,3.8507909999999996,7.83597,2.3,7.83597,1.0,1.0,1.0,0.0,0.0,50.0,0,81
Norchad Omier,Baylor,B12,PF,6-7,79,157.0,Sr,2025,34.0,1063.5,78.2,15.7429,97.7,119.3,24.9,0.6214999999999999,0.29,0.3,0.75,14.5,25.5,10.2,18.0,5.17132,3.849573,7.83191,2.25,7.83191,0.98,0.98,1.0,0.02,0.0,50.0,0,82
Anthony Robinson II,Missouri,SEC,PU,6-3,75,210.0,So,2025,33.0,735.2,55.7,9.0303,97.8,120.5,21.3,0.6144,0.4,0.3,0.771,4.8,11.3,26.0,19.8,3.09657,3.841806,7.80602,1.55,7.80602,0.99,0.99,1.0,0.01,0.0,50.0,0,83
Viktor Lakhin,Clemson,ACC,PF,6-11,83,154.0,Sr,2025,34.0,786.1,57.8,11.4118,97.8,114.6,25.8,0.5710999999999999,0.375,0.3,0.696,11.6,20.7,13.4,15.5,2.96622,3.822276,7.74092,1.64,7.74092,0.97,0.97,1.0,0.03,0.0,50.0,0,84
Oumar Ballo,Indiana,B10,C,7-0,84,176.0,Sr,2025,31.0,863.0,69.6,13.0,97.9,114.5,22.8,0.6179,0.0,0.3,0.571,12.2,23.8,14.7,17.8,3.56321,3.8026109999999997,7.67537,1.79,7.67537,1.0,1.0,1.0,0.0,0.0,50.0,0,85
Andersson Garcia,Texas A&M,SEC,PF,6-7,79,210.0,Sr,2025,34.0,824.2,60.6,6.0882,97.9,122.6,13.4,0.6069,0.386,0.3,0.696,10.2,18.3,12.1,19.5,2.47909,3.7713419999999998,7.57114,1.68,7.57114,0.99,0.99,1.0,0.01,0.0,50.0,0,86
Tyson Degenhart,Boise St.,MWC,WI,6-8,80,214.0,Sr,2025,36.0,1216.8,84.5,18.2703,97.9,126.8,23.8,0.6325999999999999,0.349,0.3,0.794,7.4,15.3,10.3,10.7,5.61586,3.769116,7.56372,2.48,7.56372,0.75,0.75,1.0,0.25,0.0,50.0,0,87
Sean Pedulla,Mississippi,SEC,PG,6-1,73,113.0,Sr,2025,36.0,1172.2,81.4,15.4167,98.0,112.0,23.6,0.5804,0.392,0.3,0.825,1.5,10.9,22.7,15.1,3.98894,3.759069,7.53023,2.38,7.53023,0.99,0.99,1.0,0.01,0.0,50.0,0,88
