player_name,school,conference,position,height,height_inches,weight,class,season_year,games,minutes,minutes_pct,ppg,rpg,apg,usage_rate,ts_pct,three_pt_pct,three_pt_attempt_rate,ft_pct,off_rebound_rate,def_rebound_rate,assist_rate,turnover_rate,steal_rate,block_rate,offensive_rating,defensive_rating,bpm,vorp,previous_bpm,conf_strength,conf_strength_from,conf_strength_to,conf_upgrade,future_bpm,future_impact_score,transfer_success,transferred,school_destination,data_year,public_transfer_rank
Brandon Cook,Marquette,SEC,SF,6-3,75,204,R-JR,2021,28,379.124265729587,33.850380868713124,8.1,3.7,1.1,18.7,0.505,0.268,0.129,0.733,5.0,15.5,9.6,9.6,2.98,1.2,116.9,98.4,2.7,0.51,2.7,0.96,0.96,0.79,-0.17,4.92,79.5,1,1,Purdue,2021,22
Patrick Johnson,Minnesota,Big Ten,SF,6-0,72,192,R-JR,2023,18,358.44447050070653,49.78395423620925,1.5,4.5,1.1,14.4,0.551,0.307,0.193,0.52,5.4,19.6,9.4,17.6,3.25,2.22,127.0,103.7,3.08,0.55,3.08,1.0,1.0,0.96,-0.04,4.89,79.3,1,1,Mississippi State,2023,23
Marcus Nelson,BYU,SEC,G,6-2,74,201,R-JR,2021,32,403.21748598308653,31.501366092428636,9.5,2.7,4.2,27.8,0.504,0.253,0.522,0.711,1.0,13.9,34.9,7.6,2.38,2.21,113.6,107.3,2.82,0.57,2.82,0.96,0.96,0.96,0.0,4.85,79.1,1,1,St. John's,2021,24
Darius Johnson,Mississippi State,ACC,F,6-5,77,226,FR,2021,25,283.30934003527443,28.33093400352744,9.1,4.9,0.6,24.1,0.585,0.4,0.0,0.674,6.9,20.6,5.2,9.2,2.24,0.1,95.6,97.5,5.25,0.74,5.25,0.94,0.94,0.72,-0.22,4.83,79.0,1,1,DePaul,2021,25
Patrick Garcia,Illinois,Big Ten,SF,6-5,77,182,JR,2023,36,136.48546520928613,9.478157306200425,5.0,1.9,3.1,21.6,0.48,0.37,0.479,0.563,4.9,5.5,26.2,7.6,1.15,0.46,97.6,106.1,3.75,0.26,3.75,1.0,1.0,0.94,-0.06,4.82,78.9,1,1,Louisville,2023,26
Patrick Young,Louisville,Horizon,PF,6-8,80,191,R-FR,2022,23,191.92032416062187,20.860904800067594,3.1,7.4,1.0,22.6,0.475,0.275,0.173,0.726,11.8,29.6,7.9,10.5,2.31,6.26,118.3,93.2,4.15,0.4,4.15,0.71,0.71,0.74,0.03,4.8,78.8,1,1,Penn State,2022,27
Alex Turner,Rutgers,Ivy,SG,6-4,76,236,R-SO,2022,25,294.9594840065787,29.49594840065787,13.2,2.2,0.4,33.8,0.52,0.381,0.537,0.776,4.7,7.4,3.7,13.2,3.01,0.53,109.0,95.0,2.07,0.31,2.07,0.71,0.71,0.83,0.12,4.79,78.8,1,1,Belmont,2022,28
Patrick Bell,Virginia,MVC,PF,6-6,78,230,R-JR,2022,20,219.3179433295706,27.414742916196328,4.1,4.2,1.4,22.1,0.556,0.266,0.166,0.769,4.5,19.0,11.8,5.8,2.88,0.31,110.2,91.9,2.78,0.3,2.78,0.79,0.79,0.7,-0.09,4.74,78.4,1,1,Notre Dame,2022,29
Jaylen Sanchez,LSU,Big Ten,G,6-2,74,211,R-FR,2023,27,224.5175100342898,20.788658336508316,9.7,1.2,3.6,26.4,0.529,0.457,0.619,0.594,1.5,5.4,30.3,22.4,1.81,1.5,113.3,102.0,2.23,0.25,2.23,1.0,1.0,0.93,-0.07,4.62,77.7,1,1,Oklahoma,2023,30
Omar Cooper,TCU,ACC,PG,6-1,73,186,FR,2020,37,318.0485260430061,21.48976527317609,11.5,1.8,2.2,35.1,0.381,0.437,0.352,0.756,2.3,7.4,18.7,14.6,2.89,0.62,108.0,95.7,1.68,0.27,1.68,0.94,0.94,0.77,-0.17,4.61,77.7,1,1,Austin Peay,2020,31
Jalen Wright,USC,Big 12,C,6-10,82,194,JR,2024,29,153.5875097378599,13.240302563608612,9.0,5.0,1.4,31.6,0.46,0.328,0.22,0.604,12.4,15.6,11.4,9.7,0.29,8.35,113.8,95.7,3.48,0.27,3.48,0.98,0.98,0.74,-0.24,4.59,77.6,1,1,Georgetown,2024,32
Owen Garcia,San Diego State,A-10,SF,6-7,79,217,R-FR,2024,37,307.4541953306184,20.773932116933675,14.3,2.3,2.1,28.5,0.591,0.379,0.437,0.664,4.0,8.8,17.1,20.2,1.84,0.78,100.0,100.0,2.53,0.39,2.53,0.86,0.86,0.71,-0.15,4.59,77.5,1,1,Davidson,2024,33
Tanner Johnson,Oklahoma,AAC,PF,6-8,80,192,R-JR,2022,26,97.09377788338493,9.335940181094704,11.1,6.6,0.9,25.2,0.542,0.181,0.4,0.83,12.1,24.3,7.5,9.2,2.28,5.25,105.8,102.2,3.23,0.16,3.23,0.83,0.83,0.83,0.0,4.57,77.4,1,1,Florida,2022,34
Zach Reed,Indiana,Big 12,W,6-3,75,155,R-FR,2024,37,357.6070562084948,24.162638933006406,6.6,3.5,1.2,20.3,0.461,0.403,0.478,0.772,7.3,12.1,10.0,15.7,1.8,1.02,121.1,95.8,1.54,0.27,1.54,0.98,0.98,0.96,-0.02,4.56,77.4,1,1,Tulsa,2024,35
Nick Edwards,Louisville,WCC,PF,6-9,81,204,SR,2022,32,291.8847590988047,22.80349680459412,4.8,6.9,1.5,17.2,0.531,0.181,0.335,0.633,8.8,29.8,12.2,17.6,1.66,7.18,110.8,100.9,4.23,0.62,4.23,0.82,0.82,0.77,-0.05,4.54,77.2,1,1,Baylor,2022,36
Jake Rogers,Syracuse,WAC,SG,6-4,76,217,R-JR,2024,35,269.4657200379095,19.24755143127925,5.0,1.9,1.5,16.3,0.456,0.359,0.373,0.576,5.2,5.6,12.8,15.7,4.36,1.09,101.8,102.2,1.9,0.26,1.9,0.7,0.7,0.72,0.02,4.49,76.9,1,1,Texas,2024,37
Evan Lopez,Louisville,Big 12,W,6-7,79,206,JR,2024,32,184.0302945385221,14.377366760822039,7.0,2.2,2.0,16.6,0.594,0.361,0.617,0.721,7.5,4.9,17.0,16.1,0.87,0.54,116.7,96.3,1.92,0.18,1.92,0.98,0.98,0.71,-0.27,4.43,76.6,1,1,Wisconsin,2024,38
Ryan Campbell,Nebraska,MAAC,PG,6-5,77,205,R-JR,2023,21,265.18575093424056,31.569732254076253,3.1,2.0,2.9,21.0,0.571,0.32,0.237,0.814,5.0,6.0,24.1,20.2,0.46,1.46,97.5,98.9,4.4,0.58,4.4,0.74,0.74,0.93,0.19,4.41,76.5,1,1,Kansas,2023,39
Elijah Sanchez,Gonzaga,MAC,G,6-2,74,217,SO,2022,33,405.68364406217427,30.733609398649566,7.3,1.9,2.8,21.5,0.438,0.292,0.676,0.69,1.7,8.8,23.4,16.1,2.79,3.01,116.1,98.1,1.54,0.31,1.54,0.76,0.76,0.77,0.01,4.4,76.4,1,1,Ohio State,2022,40
Elijah Hernandez,UNLV,CAA,PF,6-7,79,219,R-JR,2023,35,386.84822164308343,27.632015831648815,8.8,6.0,1.4,18.2,0.51,0.266,0.11,0.64,6.8,26.3,11.8,10.8,3.18,0.53,121.2,106.7,4.07,0.79,4.07,0.77,0.77,0.77,0.0,4.4,76.4,1,1,St. John's,2023,41
Kofi Perez,Nevada,MAC,PF,6-6,78,188,R-JR,2024,30,519.3291002597449,43.277425021645406,8.4,3.5,0.5,27.4,0.662,0.209,0.107,0.528,1.0,18.6,4.2,17.7,3.36,3.82,110.6,107.9,4.41,1.15,4.41,0.76,0.76,0.72,-0.04,4.38,76.3,1,1,SMU,2024,42
Luka Morris,Baylor,ACC,F,6-5,77,227,R-JR,2022,29,92.8,8.0,9.0,3.3,1.5,18.5,0.629,0.108,0.066,0.537,6.3,11.9,12.7,14.7,2.54,2.73,108.1,98.7,4.81,0.22,4.81,0.94,0.94,0.77,-0.17,4.35,76.1,1,1,Auburn,2022,43
Max Robinson,Saint Louis,SEC,PG,6-4,76,196,FR,2020,21,381.58704976947155,45.4270297344609,15.5,1.9,3.9,24.7,0.574,0.357,0.622,0.794,1.9,8.5,32.2,15.9,1.85,1.84,110.1,113.3,2.92,0.56,2.92,0.96,0.96,0.74,-0.22,4.3,75.8,1,1,Xavier,2020,44
Todd Davis,Providence,Big Ten,PF,6-9,81,170,R-JR,2023,27,97.35105840554232,9.013986889402066,1.0,3.9,0.7,16.1,0.55,0.279,0.149,0.795,6.4,15.1,5.6,8.0,2.73,4.16,111.4,105.6,1.9,0.09,1.9,1.0,1.0,0.7,-0.3,4.22,75.3,1,1,Michigan,2023,45
Sean Gonzalez,Florida State,Big Ten,PF,6-8,80,217,JR,2023,25,100.82294188765337,10.082294188765337,5.6,4.7,0.5,19.8,0.53,0.344,0.391,0.64,5.6,20.8,4.2,13.7,2.15,4.09,116.3,95.1,5.88,0.3,5.88,1.0,1.0,0.83,-0.17,4.22,75.3,1,1,LSU,2023,46
Paul Adams,Wake Forest,WCC,PF,6-9,81,180,JR,2024,23,351.1328691855271,38.16661621581816,5.2,6.2,1.3,26.0,0.456,0.281,0.55,0.713,11.2,23.3,11.0,14.8,3.52,4.42,104.6,104.6,2.64,0.46,2.64,0.82,0.82,0.82,0.0,4.18,75.1,1,1,Cincinnati,2024,47
Cole King,Notre Dame,AAC,G,6-3,75,208,R-JR,2022,35,112.00000000000001,8.0,2.8,2.3,3.3,12.5,0.463,0.342,0.157,0.712,2.0,10.8,27.9,23.5,2.41,0.64,101.0,95.5,2.34,0.13,2.34,0.83,0.83,0.76,-0.07,4.16,75.0,1,1,Boston College,2022,48
Cole Hill,Syracuse,CUSA,W,6-5,77,202,FR,2020,27,280.41528146095754,25.964377913051628,3.9,2.4,1.4,23.1,0.511,0.35,0.597,0.612,5.4,8.1,11.6,11.9,2.97,0.85,121.4,107.7,-0.13,-0.02,-0.13,0.74,0.74,0.86,0.12,4.15,74.9,1,1,Iowa,2020,49
Alex Edwards,BYU,MAC,C,7-1,85,194,R-JR,2022,31,179.57439684149222,14.481806196894533,10.1,5.6,2.0,24.1,0.616,0.245,0.209,0.694,6.4,24.6,17.0,6.9,3.64,3.02,110.2,100.7,4.42,0.4,4.42,0.76,0.76,0.83,0.07,4.06,74.4,1,1,Indiana,2022,50
Darius Allen,Boston College,SEC,W,6-6,78,189,R-FR,2022,29,470.4791043058408,40.55854347464145,10.1,5.1,0.8,25.7,0.476,0.394,0.38,0.677,9.9,18.4,6.4,18.8,3.92,2.16,105.8,96.1,2.34,0.55,2.34,0.96,0.96,0.86,-0.1,4.05,74.3,1,1,Texas,2022,51
Vince Mitchell,Air Force,ACC,F,6-6,78,206,R-JR,2024,27,257.0742518972077,23.803171471963676,9.8,4.8,0.4,20.7,0.621,0.355,0.24,0.736,10.8,15.9,3.6,17.6,0.68,1.79,127.0,100.3,1.73,0.22,1.73,0.94,0.94,0.82,-0.12,4.04,74.2,1,1,Hofstra,2024,52
Vince Cook,Belmont,Big Ten,SG,6-1,73,213,SO,2020,27,341.9231897645622,31.659554607829836,5.5,1.8,1.7,19.2,0.531,0.349,0.267,0.695,1.7,8.2,13.9,11.8,1.84,1.22,108.1,86.1,1.21,0.21,1.21,1.0,1.0,0.82,-0.18,4.03,74.2,1,1,Saint Louis,2020,53
Ivan Nelson,St. Bonaventure,MAAC,SF,6-2,74,166,SR,2021,25,435.42689861728945,43.542689861728945,6.2,3.3,2.7,21.6,0.399,0.377,0.296,0.808,3.4,14.7,22.7,14.1,1.97,1.39,121.0,101.5,2.51,0.55,2.51,0.74,0.74,0.74,0.0,3.96,73.8,1,1,San Diego State,2021,54
Andrej Bailey,Dayton,WCC,SG,6-4,76,203,R-JR,2023,22,76.99170142433434,8.749056980037993,10.7,1.2,2.9,17.8,0.567,0.27,0.609,0.741,1.9,4.6,24.2,13.9,3.6,2.39,107.2,95.6,2.34,0.09,2.34,0.82,0.82,0.94,0.12,3.96,73.8,1,1,Villanova,2023,55
Evan Roberts,SMU,Big 12,PG,6-0,72,207,R-JR,2023,33,480.9030371311143,36.432048267508655,7.9,2.7,2.5,19.0,0.511,0.356,0.076,0.748,7.2,7.6,21.2,21.7,3.85,2.47,93.0,101.5,4.36,1.05,4.36,0.98,0.98,0.82,-0.16,3.95,73.7,1,1,Hofstra,2023,56
Jake Bell,Hofstra,MAAC,C,6-10,82,232,R-JR,2023,30,539.9049002414704,44.99207502012253,10.1,5.3,0.9,24.9,0.581,0.279,0.157,0.86,7.5,21.7,7.5,5.5,0.97,5.51,117.2,101.5,2.76,0.74,2.76,0.74,0.74,0.71,-0.03,3.94,73.6,1,1,Maryland,2023,57
Quinn Adams,Auburn,Big 12,PF,6-9,81,203,R-JR,2021,26,83.2,8.0,4.1,6.3,1.1,18.8,0.609,0.343,0.295,0.637,15.1,20.1,8.9,11.4,1.03,2.53,104.0,111.7,3.0,0.12,3.0,0.98,0.98,0.98,0.0,3.9,73.4,1,1,Nebraska,2021,58
Eric Martinez,Richmond,MVC,PG,6-2,74,208,JR,2021,36,693.5061374464375,48.160148433780385,6.8,2.0,3.6,13.6,0.526,0.266,0.168,0.642,2.6,8.6,29.9,7.6,2.19,1.96,88.0,101.6,4.52,1.57,4.52,0.79,0.79,0.7,-0.09,3.9,73.4,1,1,Houston,2021,59
Coleman Parker,Austin Peay,SEC,F,6-4,76,214,R-FR,2020,33,442.5634291303777,33.5275325098771,9.6,2.9,1.0,18.7,0.652,0.341,0.179,0.746,8.6,7.2,8.2,15.5,1.43,2.42,114.5,97.0,1.86,0.41,1.86,0.96,0.96,0.74,-0.22,3.86,73.1,1,1,William & Mary,2020,60
Xavier Sanchez,Florida,Horizon,PF,6-9,81,198,JR,2023,31,775.3615998597708,62.52916127901378,9.1,4.5,1.3,18.4,0.509,0.28,0.068,0.724,5.9,19.1,10.6,12.5,1.68,7.97,96.3,102.0,2.44,0.95,2.44,0.71,0.71,0.69,-0.02,3.85,73.1,1,1,Boston College,2023,61
Nathan Collins,Villanova,MAC,F,6-8,80,168,R-JR,2023,37,522.7045849064531,35.31787735854413,7.5,4.5,0.2,23.9,0.51,0.296,0.276,0.713,12.3,12.7,1.0,13.5,0.39,2.81,105.8,92.7,4.5,1.18,4.5,0.76,0.76,1.0,0.24,3.82,72.9,1,1,Alabama,2023,62
Andre Taylor,Boise State,MAC,PF,6-5,77,195,R-FR,2020,25,224.4448354329278,22.44448354329278,6.7,3.3,0.5,21.0,0.513,0.221,0.147,0.631,4.2,13.9,4.4,10.5,2.63,4.8,126.1,85.7,-0.67,-0.07,-0.67,0.76,0.76,0.96,0.2,3.81,72.9,1,1,Stanford,2020,63
Tyrese Taylor,Austin Peay,A-10,PF,6-9,81,205,R-JR,2021,32,102.4,8.0,8.6,5.6,1.4,22.3,0.672,0.331,0.056,0.832,7.2,23.8,11.4,14.2,2.79,5.9,115.7,104.4,0.26,0.01,0.26,0.86,0.86,0.72,-0.14,3.81,72.9,1,1,Kentucky,2021,64
Luke Parker,Tennessee Tech,AAC,PG,6-2,74,167,R-JR,2022,23,254.6418683400098,27.678463950001063,8.4,2.1,1.7,17.9,0.504,0.34,0.361,0.736,5.0,6.8,14.6,22.5,2.58,1.38,111.5,95.3,1.24,0.16,1.24,0.83,0.83,0.74,-0.09,3.81,72.9,1,1,Wichita State,2022,65
Ivan Reed,LSU,A-10,F,6-7,79,188,R-SO,2024,25,425.37601618756497,42.5376016187565,8.9,3.9,1.0,24.3,0.537,0.361,0.232,0.854,8.7,13.1,8.1,16.2,1.31,0.1,114.4,95.9,3.94,0.84,3.94,0.86,0.86,0.98,0.12,3.79,72.7,1,1,Hofstra,2024,66
Blake Hill,Boise State,CAA,SG,6-2,74,186,R-FR,2022,31,364.453352652214,29.391399407436612,12.4,2.9,2.6,26.6,0.584,0.413,0.266,0.571,3.9,12.1,21.8,15.9,0.2,1.87,116.1,106.4,3.04,0.55,3.04,0.77,0.77,0.74,-0.03,3.77,72.6,1,1,Wichita State,2022,67
Owen Murphy,Nevada,MAAC,C,6-7,79,192,R-JR,2021,21,94.93045691302534,11.301244870598254,1.9,5.7,0.6,16.7,0.487,0.262,0.372,0.797,10.0,21.5,5.0,14.3,1.22,6.04,124.6,105.2,0.7,0.03,0.7,0.74,0.74,1.0,0.26,3.75,72.5,1,1,Kentucky,2021,68
Ryan Reed,Indiana,OVC,G,6-3,75,239,R-JR,2020,19,411.33547572880764,54.123088911685215,10.8,1.6,2.3,23.4,0.542,0.415,0.489,0.709,3.1,5.8,19.3,11.3,3.69,1.95,103.5,100.9,1.66,0.34,1.66,0.69,0.69,0.74,0.05,3.74,72.4,1,1,SMU,2020,69
Tanner Bailey,BYU,ACC,F,6-7,79,231,R-JR,2022,24,129.0874275394704,13.446607035361502,1.0,3.7,0.6,21.2,0.515,0.23,0.167,0.78,2.7,18.0,5.2,8.3,2.46,0.95,100.6,106.2,0.88,0.06,0.88,0.94,0.94,0.98,0.04,3.74,72.4,1,1,Houston,2022,70
Kevin Morris,Nevada,Ivy,PG,6-2,74,230,R-JR,2024,19,223.17974317919357,29.36575568147284,8.8,1.5,3.9,20.1,0.561,0.396,0.415,0.706,3.1,5.0,32.9,16.1,1.84,2.79,113.2,97.7,0.7,0.08,0.7,0.71,0.71,0.83,0.12,3.73,72.4,1,1,Penn State,2024,71
Tanner Rogers,Oklahoma,ACC,C,6-9,81,211,R-SO,2022,21,254.6221709231321,30.312163205134773,14.1,6.5,1.0,30.0,0.483,0.367,0.138,0.761,9.3,26.7,8.5,12.8,1.4,4.16,87.7,99.8,1.9,0.24,1.9,0.94,0.94,0.86,-0.08,3.72,72.3,1,1,Air Force,2022,72
Quinn Reed,Marquette,AAC,C,7-0,84,236,R-JR,2023,32,395.49888737527,30.898350576192968,4.9,4.9,0.9,13.2,0.53,0.346,0.095,0.718,5.0,22.0,7.3,15.2,1.99,3.3,113.9,92.2,2.68,0.53,2.68,0.83,0.83,0.74,-0.09,3.72,72.3,1,1,Nebraska,2023,73
Evan Lewis,Villanova,CUSA,SF,6-3,75,200,FR,2020,26,83.2,8.0,2.5,3.5,2.2,20.4,0.608,0.41,0.234,0.831,7.2,12.5,18.7,11.7,2.66,0.65,107.3,93.5,-1.74,-0.07,-1.74,0.74,0.74,0.83,0.09,3.69,72.2,1,1,George Mason,2020,74
Ben Harris,Memphis,Sun Belt,W,6-2,74,194,R-JR,2024,28,248.00784794798122,22.143557852498326,3.5,3.2,1.9,21.8,0.594,0.454,0.413,0.685,5.5,12.6,15.6,10.0,1.97,0.78,120.1,87.6,0.5,0.06,0.5,0.72,0.72,0.93,0.21,3.69,72.2,1,1,Dayton,2024,75
Elijah Wright,SMU,CUSA,PF,6-10,82,204,JR,2024,32,654.181179170844,51.10790462272219,2.9,5.1,0.3,10.2,0.525,0.237,0.103,0.633,9.2,19.1,2.3,14.8,2.22,5.39,116.5,94.4,1.09,0.36,1.09,0.74,0.74,0.86,0.12,3.65,71.9,1,1,Providence,2024,76
Andre Evans,Pittsburgh,SEC,G,6-2,74,165,R-JR,2023,26,289.7364006446642,27.859269292756174,9.1,1.8,3.0,23.9,0.505,0.397,0.534,0.752,4.6,5.2,24.7,29.7,0.36,0.97,101.8,99.9,2.2,0.32,2.2,0.96,0.96,0.79,-0.17,3.65,71.9,1,1,Baylor,2023,77
Luke Turner,Richmond,Big East,C,6-7,79,207,R-SO,2024,30,204.8923999443689,17.07436666203074,8.9,3.3,1.7,26.0,0.574,0.271,0.283,0.743,6.6,11.5,14.2,11.9,1.97,5.82,128.5,85.9,3.88,0.4,3.88,0.93,0.93,1.0,0.07,3.63,71.8,1,1,Boston College,2024,78
Kofi Allen,Memphis,ACC,C,6-10,82,208,SR,2024,26,532.2189539709912,51.174899420287616,10.3,6.5,0.4,17.1,0.564,0.235,0.528,0.528,8.9,27.4,3.4,10.7,3.25,1.85,115.1,94.4,3.13,0.83,3.13,0.94,0.94,0.69,-0.25,3.61,71.6,1,1,Tennessee,2024,79
Xavier Turner,Connecticut,Big 12,PG,6-2,74,209,FR,2021,31,294.7032568732766,23.76639168332876,6.8,3.0,4.2,21.4,0.566,0.467,0.121,0.626,2.1,14.8,34.6,24.4,1.41,0.82,104.7,93.4,3.2,0.47,3.2,0.98,0.98,0.72,-0.26,3.59,71.5,1,1,Indiana,2021,80
